LocalDate,LocalTime,TotalCarriagewayFlow
2016-06-03,22:29:00,226
2016-06-03,22:44:00,179
2016-06-03,22:59:00,218
2016-06-03,23:14:00,190
2016-06-03,23:29:00,165
2016-06-03,23:44:00,148
2016-06-03,23:59:00,164
2016-06-04,00:14:00,171
2016-06-04,00:29:00,183
2016-06-04,00:44:00,241
2016-06-04,00:59:00,182
2016-06-04,01:14:00,108
2016-06-04,01:29:00,67
2016-06-04,01:44:00,43
2016-06-04,01:59:00,31
2016-06-04,02:14:00,68
2016-06-04,02:29:00,100
2016-06-04,02:44:00,88
2016-06-04,02:59:00,69
2016-06-04,03:14:00,71
2016-06-04,03:29:00,74
2016-06-04,03:44:00,65
2016-06-04,03:59:00,83
2016-06-04,04:14:00,105
2016-06-04,04:29:00,105
2016-06-04,04:44:00,118
2016-06-04,04:59:00,140
2016-06-04,05:14:00,175
2016-06-04,05:29:00,191
2016-06-04,05:44:00,235
2016-06-04,05:59:00,276
2016-06-04,06:14:00,272
2016-06-04,06:29:00,275
2016-06-04,06:44:00,327
2016-06-04,06:59:00,285
2016-06-04,07:14:00,303
2016-06-04,07:29:00,335
2016-06-04,07:44:00,368
2016-06-04,07:59:00,293
2016-06-04,08:14:00,321
2016-06-04,08:29:00,393
2016-06-04,08:44:00,381
2016-06-04,08:59:00,373
2016-06-04,09:14:00,407
2016-06-04,09:29:00,401
2016-06-04,09:44:00,428
2016-06-04,09:59:00,406
2016-06-04,10:14:00,444
2016-06-04,10:29:00,398
2016-06-04,10:44:00,410
2016-06-04,10:59:00,385
2016-06-04,11:14:00,435
2016-06-04,11:29:00,455
2016-06-04,11:44:00,443
2016-06-04,11:59:00,466
2016-06-04,12:14:00,487
2016-06-04,12:29:00,447
2016-06-04,12:44:00,453
2016-06-04,12:59:00,521
2016-06-04,13:14:00,438
2016-06-04,13:29:00,440
2016-06-04,13:44:00,472
2016-06-04,13:59:00,442
2016-06-04,14:14:00,474
2016-06-04,14:29:00,440
2016-06-04,14:44:00,469
2016-06-04,14:59:00,482
2016-06-04,15:14:00,456
2016-06-04,15:29:00,482
2016-06-04,15:44:00,470
2016-06-04,15:59:00,442
2016-06-04,16:14:00,402
2016-06-04,16:29:00,381
2016-06-04,16:44:00,416
2016-06-04,16:59:00,406
2016-06-04,17:14:00,406
2016-06-04,17:29:00,414
2016-06-04,17:44:00,408
2016-06-04,17:59:00,441
2016-06-04,18:14:00,421
2016-06-04,18:29:00,410
2016-06-04,18:44:00,457
2016-06-04,18:59:00,374
2016-06-04,19:14:00,380
2016-06-04,19:29:00,343
2016-06-04,19:44:00,292
2016-06-04,19:59:00,335
2016-06-04,20:14:00,326
2016-06-04,20:29:00,283
2016-06-04,20:44:00,238
2016-06-04,20:59:00,228
2016-06-04,21:14:00,223
2016-06-04,21:29:00,187
2016-06-04,21:44:00,238
2016-06-04,21:59:00,241
2016-06-04,22:14:00,235
2016-06-04,22:29:00,177
2016-06-04,22:44:00,161
2016-06-04,22:59:00,163
2016-06-04,23:14:00,193
2016-06-04,23:29:00,198
2016-06-04,23:44:00,225
2016-06-04,23:59:00,189
2016-06-05,00:14:00,199
2016-06-05,00:29:00,162
2016-06-05,00:44:00,182
2016-06-05,00:59:00,165
2016-06-05,01:14:00,161
2016-06-05,01:29:00,137
2016-06-05,01:44:00,98
2016-06-05,01:59:00,101
2016-06-05,02:14:00,115
2016-06-05,02:29:00,84
2016-06-05,02:44:00,71
2016-06-05,02:59:00,69
2016-06-05,03:14:00,47
